,person,offer_id,offer received,offer viewed,offer completed,valid,duration
42,13,3f207df678b143eea3cee63160fa8bed,0.0,,,False,4
43,13,fafdcd668e3743c1bb461111dcafc2a4,14.0,14.5,19.0,True,10
44,14,0b1e1539f2cc45b7b9fa7c272da2e1d7,0.0,0.75,,False,10
45,14,4d5c57ea9a6940dd891ad53e9dbe8da0,7.0,7.0,8.75,True,5
46,14,5a8bc65990b245e5a138643cd4eb9837,14.0,14.0,,False,3
47,14,ae264e3637204a6fb9bb56bc8210ddfd,17.0,18.0,17.75,False,7
48,14,f19421c1d4aa40978ebb69ca19b0e20d,24.0,25.5,26.25,True,5
49,15,0b1e1539f2cc45b7b9fa7c272da2e1d7,0.0,,19.0,False,10
50,15,2906b810c7d4411798c6938adc9daaa5,7.0,,,False,7
51,15,ae264e3637204a6fb9bb56bc8210ddfd,17.0,17.25,,False,7
52,16,0b1e1539f2cc45b7b9fa7c272da2e1d7,0.0,6.25,,False,10
53,16,2298d6c36e964ae4a3e7e9706d1fb8c2,14.0,14.0,16.0,True,7
54,16,fafdcd668e3743c1bb461111dcafc2a4,7.0,7.0,10.75,True,10
55,17,0b1e1539f2cc45b7b9fa7c272da2e1d7,0.0,,,False,10
56,17,5a8bc65990b245e5a138643cd4eb9837,21.0,21.0,,False,3
57,17,ae264e3637204a6fb9bb56bc8210ddfd,17.0,17.25,20.25,True,7
58,18,0b1e1539f2cc45b7b9fa7c272da2e1d7,0.0,2.0,,False,10
59,18,2298d6c36e964ae4a3e7e9706d1fb8c2,7.0,13.5,,False,7
60,18,4d5c57ea9a6940dd891ad53e9dbe8da0,17.0,18.0,,False,5
61,18,5a8bc65990b245e5a138643cd4eb9837,24.0,24.0,,False,3
62,18,ae264e3637204a6fb9bb56bc8210ddfd,21.0,21.25,,False,7
63,19,0b1e1539f2cc45b7b9fa7c272da2e1d7,7.0,,,False,10
64,19,2298d6c36e964ae4a3e7e9706d1fb8c2,17.0,17.0,22.0,True,7
65,19,3f207df678b143eea3cee63160fa8bed,24.0,,,False,4
66,19,9b98b8c7a33c4b65b9aebfe6a799e6d9,14.0,,21.5,False,7
67,20,5a8bc65990b245e5a138643cd4eb9837,24.0,25.75,,False,3
68,20,9b98b8c7a33c4b65b9aebfe6a799e6d9,0.0,,,False,7
69,20,ae264e3637204a6fb9bb56bc8210ddfd,17.0,18.25,,False,7
70,21,0b1e1539f2cc45b7b9fa7c272da2e1d7,21.0,22.5,21.25,False,10
71,21,2298d6c36e964ae4a3e7e9706d1fb8c2,0.0,2.5,3.25,True,7
72,21,2906b810c7d4411798c6938adc9daaa5,24.0,,25.0,False,7
73,22,0b1e1539f2cc45b7b9fa7c272da2e1d7,7.0,7.25,7.5,True,10
74,22,3f207df678b143eea3cee63160fa8bed,17.0,19.5,,False,4
75,22,ae264e3637204a6fb9bb56bc8210ddfd,0.0,4.25,21.25,False,7
76,23,3f207df678b143eea3cee63160fa8bed,0.0,0.75,,False,4
77,23,4d5c57ea9a6940dd891ad53e9dbe8da0,21.0,23.5,,False,5
78,23,5a8bc65990b245e5a138643cd4eb9837,7.0,8.0,,False,3
79,23,fafdcd668e3743c1bb461111dcafc2a4,17.0,17.0,17.25,True,10
80,24,0b1e1539f2cc45b7b9fa7c272da2e1d7,17.0,19.5,,False,10
81,24,2298d6c36e964ae4a3e7e9706d1fb8c2,14.0,15.25,,False,7
82,24,3f207df678b143eea3cee63160fa8bed,7.0,7.25,,False,4
83,24,4d5c57ea9a6940dd891ad53e9dbe8da0,24.0,25.5,,False,5
84,25,3f207df678b143eea3cee63160fa8bed,24.0,25.0,,False,4
85,25,4d5c57ea9a6940dd891ad53e9dbe8da0,7.0,7.0,8.75,True,5
86,25,fafdcd668e3743c1bb461111dcafc2a4,0.0,0.75,5.25,True,10
87,26,0b1e1539f2cc45b7b9fa7c272da2e1d7,0.0,1.25,8.0,True,10
88,26,2906b810c7d4411798c6938adc9daaa5,7.0,7.5,8.0,True,7
89,26,4d5c57ea9a6940dd891ad53e9dbe8da0,17.0,17.0,17.25,True,5
90,26,9b98b8c7a33c4b65b9aebfe6a799e6d9,21.0,21.75,,False,7
91,27,0b1e1539f2cc45b7b9fa7c272da2e1d7,24.0,25.0,,False,10
92,27,2906b810c7d4411798c6938adc9daaa5,0.0,,,False,7
93,27,9b98b8c7a33c4b65b9aebfe6a799e6d9,7.0,7.25,,False,7
94,27,ae264e3637204a6fb9bb56bc8210ddfd,14.0,14.5,,False,7
95,27,fafdcd668e3743c1bb461111dcafc2a4,17.0,17.25,20.75,True,10
96,28,0b1e1539f2cc45b7b9fa7c272da2e1d7,17.0,,,False,10
97,28,2298d6c36e964ae4a3e7e9706d1fb8c2,21.0,21.75,,False,7
98,28,2906b810c7d4411798c6938adc9daaa5,0.0,15.75,,False,7
99,28,9b98b8c7a33c4b65b9aebfe6a799e6d9,24.0,,,False,7
100,28,fafdcd668e3743c1bb461111dcafc2a4,7.0,7.0,12.5,True,10
101,29,0b1e1539f2cc45b7b9fa7c272da2e1d7,14.0,,,False,10
102,29,3f207df678b143eea3cee63160fa8bed,7.0,,,False,4
103,29,4d5c57ea9a6940dd891ad53e9dbe8da0,17.0,18.0,,False,5
104,30,2906b810c7d4411798c6938adc9daaa5,17.0,17.5,18.0,True,7
105,30,5a8bc65990b245e5a138643cd4eb9837,14.0,14.25,,False,3
106,30,9b98b8c7a33c4b65b9aebfe6a799e6d9,0.0,29.75,,False,7
107,30,fafdcd668e3743c1bb461111dcafc2a4,7.0,12.5,12.5,True,10
108,31,2298d6c36e964ae4a3e7e9706d1fb8c2,17.0,18.25,20.25,True,7
109,31,ae264e3637204a6fb9bb56bc8210ddfd,21.0,,21.75,False,7
110,31,f19421c1d4aa40978ebb69ca19b0e20d,7.0,7.75,11.5,True,5
111,32,2906b810c7d4411798c6938adc9daaa5,14.0,,16.25,False,7
112,32,4d5c57ea9a6940dd891ad53e9dbe8da0,7.0,7.0,,False,5
113,32,5a8bc65990b245e5a138643cd4eb9837,0.0,0.0,,False,3
114,32,9b98b8c7a33c4b65b9aebfe6a799e6d9,24.0,,,False,7
115,33,0b1e1539f2cc45b7b9fa7c272da2e1d7,24.0,24.0,25.0,True,10
116,33,2298d6c36e964ae4a3e7e9706d1fb8c2,17.0,17.25,17.25,True,7
117,33,3f207df678b143eea3cee63160fa8bed,21.0,22.25,,False,4
118,33,4d5c57ea9a6940dd891ad53e9dbe8da0,7.0,7.25,8.25,True,5
119,33,ae264e3637204a6fb9bb56bc8210ddfd,0.0,4.0,,False,7
120,34,2298d6c36e964ae4a3e7e9706d1fb8c2,24.0,,25.5,False,7
121,34,2906b810c7d4411798c6938adc9daaa5,0.0,,5.5,False,7
122,34,5a8bc65990b245e5a138643cd4eb9837,14.0,14.5,,False,3
123,34,9b98b8c7a33c4b65b9aebfe6a799e6d9,17.0,,19.5,False,7
124,34,f19421c1d4aa40978ebb69ca19b0e20d,21.0,22.25,25.5,True,5
125,35,5a8bc65990b245e5a138643cd4eb9837,7.0,9.5,,False,3
126,35,9b98b8c7a33c4b65b9aebfe6a799e6d9,0.0,2.0,0.5,False,7
127,35,ae264e3637204a6fb9bb56bc8210ddfd,14.0,14.0,,False,7
128,35,f19421c1d4aa40978ebb69ca19b0e20d,17.0,17.75,,False,5
129,36,3f207df678b143eea3cee63160fa8bed,7.0,7.5,,False,4
130,36,4d5c57ea9a6940dd891ad53e9dbe8da0,0.0,0.0,0.25,True,5
131,36,5a8bc65990b245e5a138643cd4eb9837,17.0,20.25,,False,3
132,36,9b98b8c7a33c4b65b9aebfe6a799e6d9,14.0,14.0,14.5,True,7
133,36,ae264e3637204a6fb9bb56bc8210ddfd,24.0,24.25,24.5,True,7
134,37,2906b810c7d4411798c6938adc9daaa5,0.0,,5.0,False,7
135,37,5a8bc65990b245e5a138643cd4eb9837,14.0,14.0,,False,3
136,37,ae264e3637204a6fb9bb56bc8210ddfd,24.0,,,False,7
137,37,f19421c1d4aa40978ebb69ca19b0e20d,21.0,21.0,24.75,True,5
138,38,0b1e1539f2cc45b7b9fa7c272da2e1d7,21.0,21.25,27.25,True,10
139,38,5a8bc65990b245e5a138643cd4eb9837,17.0,,,False,3
140,38,fafdcd668e3743c1bb461111dcafc2a4,14.0,16.25,14.25,False,10
141,39,2298d6c36e964ae4a3e7e9706d1fb8c2,0.0,1.75,4.75,True,7
142,39,5a8bc65990b245e5a138643cd4eb9837,14.0,14.5,,False,3
143,39,fafdcd668e3743c1bb461111dcafc2a4,17.0,17.5,20.25,True,10
144,40,2298d6c36e964ae4a3e7e9706d1fb8c2,24.0,24.0,,False,7
145,40,2906b810c7d4411798c6938adc9daaa5,0.0,,,False,7
146,40,4d5c57ea9a6940dd891ad53e9dbe8da0,21.0,22.5,,False,5
147,40,5a8bc65990b245e5a138643cd4eb9837,7.0,8.25,,False,3
148,40,f19421c1d4aa40978ebb69ca19b0e20d,14.0,15.75,17.75,True,5
149,40,fafdcd668e3743c1bb461111dcafc2a4,17.0,18.25,,False,10
150,41,2298d6c36e964ae4a3e7e9706d1fb8c2,14.0,14.25,16.5,True,7
151,41,2906b810c7d4411798c6938adc9daaa5,7.0,11.0,13.0,True,7
152,41,f19421c1d4aa40978ebb69ca19b0e20d,0.0,2.75,2.75,True,5
153,42,0b1e1539f2cc45b7b9fa7c272da2e1d7,17.0,,,False,10
154,42,ae264e3637204a6fb9bb56bc8210ddfd,0.0,0.0,,False,7
155,43,2298d6c36e964ae4a3e7e9706d1fb8c2,14.0,14.75,19.75,True,7
156,43,3f207df678b143eea3cee63160fa8bed,21.0,21.75,,False,4
157,43,4d5c57ea9a6940dd891ad53e9dbe8da0,17.0,18.5,20.75,True,5
158,43,9b98b8c7a33c4b65b9aebfe6a799e6d9,0.0,1.25,2.75,True,7
159,44,2298d6c36e964ae4a3e7e9706d1fb8c2,21.0,22.0,23.25,True,7
160,44,2906b810c7d4411798c6938adc9daaa5,0.0,,7.0,False,7
161,44,4d5c57ea9a6940dd891ad53e9dbe8da0,14.0,15.5,14.75,False,5
162,44,9b98b8c7a33c4b65b9aebfe6a799e6d9,24.0,25.75,24.0,False,7
163,44,f19421c1d4aa40978ebb69ca19b0e20d,17.0,17.25,,False,5
164,45,0b1e1539f2cc45b7b9fa7c272da2e1d7,14.0,14.75,,False,10
165,46,0b1e1539f2cc45b7b9fa7c272da2e1d7,7.0,10.0,,False,10
166,46,f19421c1d4aa40978ebb69ca19b0e20d,14.0,15.5,,False,5
167,46,fafdcd668e3743c1bb461111dcafc2a4,0.0,1.0,4.0,True,10
168,47,0b1e1539f2cc45b7b9fa7c272da2e1d7,21.0,,28.75,False,10
169,47,2298d6c36e964ae4a3e7e9706d1fb8c2,14.0,14.0,,False,7
170,47,9b98b8c7a33c4b65b9aebfe6a799e6d9,17.0,,,False,7
171,47,ae264e3637204a6fb9bb56bc8210ddfd,7.0,9.0,,False,7
172,48,3f207df678b143eea3cee63160fa8bed,17.0,19.5,,False,4
173,48,4d5c57ea9a6940dd891ad53e9dbe8da0,14.0,14.0,14.25,True,5
174,48,5a8bc65990b245e5a138643cd4eb9837,7.0,12.0,,False,3
175,48,9b98b8c7a33c4b65b9aebfe6a799e6d9,0.0,,,False,7
176,48,f19421c1d4aa40978ebb69ca19b0e20d,21.0,21.75,21.75,True,5
177,48,fafdcd668e3743c1bb461111dcafc2a4,24.0,24.25,24.25,True,10
178,49,0b1e1539f2cc45b7b9fa7c272da2e1d7,24.0,,,False,10
179,49,3f207df678b143eea3cee63160fa8bed,21.0,,,False,4
180,49,4d5c57ea9a6940dd891ad53e9dbe8da0,14.0,14.75,,False,5
181,49,5a8bc65990b245e5a138643cd4eb9837,0.0,0.0,,False,3
182,49,f19421c1d4aa40978ebb69ca19b0e20d,7.0,9.0,9.0,True,5
183,50,2298d6c36e964ae4a3e7e9706d1fb8c2,14.0,14.5,18.75,True,7
184,50,2906b810c7d4411798c6938adc9daaa5,21.0,,26.0,False,7
185,50,9b98b8c7a33c4b65b9aebfe6a799e6d9,7.0,,10.5,False,7
186,50,ae264e3637204a6fb9bb56bc8210ddfd,24.0,25.5,,False,7
187,51,2906b810c7d4411798c6938adc9daaa5,14.0,,26.0,False,7
188,51,9b98b8c7a33c4b65b9aebfe6a799e6d9,0.0,0.75,,False,7
189,51,ae264e3637204a6fb9bb56bc8210ddfd,21.0,21.75,26.0,True,7
190,52,4d5c57ea9a6940dd891ad53e9dbe8da0,0.0,0.25,,False,5
191,52,5a8bc65990b245e5a138643cd4eb9837,14.0,14.0,,False,3
192,52,9b98b8c7a33c4b65b9aebfe6a799e6d9,24.0,24.5,24.75,True,7
193,52,ae264e3637204a6fb9bb56bc8210ddfd,17.0,17.0,,False,7
194,53,0b1e1539f2cc45b7b9fa7c272da2e1d7,14.0,,22.0,False,10
195,53,2298d6c36e964ae4a3e7e9706d1fb8c2,21.0,24.75,23.0,False,7
196,54,2298d6c36e964ae4a3e7e9706d1fb8c2,17.0,17.0,19.25,True,7
197,54,2906b810c7d4411798c6938adc9daaa5,21.0,,23.5,False,7
198,54,5a8bc65990b245e5a138643cd4eb9837,14.0,14.0,,False,3
199,54,9b98b8c7a33c4b65b9aebfe6a799e6d9,7.0,7.5,11.25,True,7
200,55,9b98b8c7a33c4b65b9aebfe6a799e6d9,17.0,17.0,19.5,True,7
201,55,f19421c1d4aa40978ebb69ca19b0e20d,7.0,7.25,10.5,True,5
202,56,0b1e1539f2cc45b7b9fa7c272da2e1d7,17.0,19.25,19.75,True,10
203,56,2298d6c36e964ae4a3e7e9706d1fb8c2,14.0,14.25,14.75,True,7
204,56,2906b810c7d4411798c6938adc9daaa5,0.0,0.0,0.0,True,7
205,56,4d5c57ea9a6940dd891ad53e9dbe8da0,21.0,21.5,22.5,True,5
206,57,2298d6c36e964ae4a3e7e9706d1fb8c2,17.0,17.0,,False,7
207,57,2906b810c7d4411798c6938adc9daaa5,0.0,0.5,,False,7
208,57,3f207df678b143eea3cee63160fa8bed,7.0,7.25,,False,4
209,58,3f207df678b143eea3cee63160fa8bed,24.0,,,False,4
210,58,5a8bc65990b245e5a138643cd4eb9837,21.0,23.5,,False,3
211,58,9b98b8c7a33c4b65b9aebfe6a799e6d9,14.0,,20.0,False,7
212,58,ae264e3637204a6fb9bb56bc8210ddfd,7.0,7.25,,False,7
213,59,0b1e1539f2cc45b7b9fa7c272da2e1d7,7.0,7.0,9.25,True,10
214,59,4d5c57ea9a6940dd891ad53e9dbe8da0,17.0,17.5,20.5,True,5
215,59,ae264e3637204a6fb9bb56bc8210ddfd,0.0,6.25,5.25,False,7
216,59,f19421c1d4aa40978ebb69ca19b0e20d,24.0,24.0,25.25,True,5
217,59,fafdcd668e3743c1bb461111dcafc2a4,21.0,21.0,25.25,True,10
218,60,0b1e1539f2cc45b7b9fa7c272da2e1d7,7.0,,,False,10
219,60,3f207df678b143eea3cee63160fa8bed,14.0,,,False,4
220,60,ae264e3637204a6fb9bb56bc8210ddfd,17.0,17.75,,False,7
221,60,fafdcd668e3743c1bb461111dcafc2a4,21.0,23.75,,False,10
222,61,0b1e1539f2cc45b7b9fa7c272da2e1d7,7.0,,14.75,False,10
223,61,2906b810c7d4411798c6938adc9daaa5,17.0,,,False,7
224,61,5a8bc65990b245e5a138643cd4eb9837,14.0,14.25,,False,3
225,61,fafdcd668e3743c1bb461111dcafc2a4,24.0,24.75,,False,10
226,62,2298d6c36e964ae4a3e7e9706d1fb8c2,17.0,18.0,19.75,True,7
227,62,f19421c1d4aa40978ebb69ca19b0e20d,0.0,1.0,1.5,True,5
228,62,fafdcd668e3743c1bb461111dcafc2a4,24.0,26.5,24.0,False,10
229,63,2906b810c7d4411798c6938adc9daaa5,0.0,0.5,1.0,True,7
230,63,ae264e3637204a6fb9bb56bc8210ddfd,21.0,22.5,27.0,True,7
231,63,fafdcd668e3743c1bb461111dcafc2a4,7.0,7.25,11.25,True,10
232,64,0b1e1539f2cc45b7b9fa7c272da2e1d7,14.0,,16.25,False,10
233,64,2298d6c36e964ae4a3e7e9706d1fb8c2,7.0,7.75,13.75,True,7
234,64,5a8bc65990b245e5a138643cd4eb9837,17.0,19.5,,False,3
235,65,0b1e1539f2cc45b7b9fa7c272da2e1d7,24.0,,,False,10
236,65,2298d6c36e964ae4a3e7e9706d1fb8c2,21.0,21.0,25.25,True,7
237,65,3f207df678b143eea3cee63160fa8bed,0.0,,,False,4
238,65,4d5c57ea9a6940dd891ad53e9dbe8da0,7.0,7.5,,False,5
239,66,2298d6c36e964ae4a3e7e9706d1fb8c2,24.0,26.25,26.75,True,7
240,66,2906b810c7d4411798c6938adc9daaa5,21.0,23.25,26.75,True,7
241,66,4d5c57ea9a6940dd891ad53e9dbe8da0,17.0,18.25,17.25,False,5
242,66,f19421c1d4aa40978ebb69ca19b0e20d,0.0,0.5,4.0,True,5
243,67,2906b810c7d4411798c6938adc9daaa5,17.0,17.25,17.5,True,7
244,67,5a8bc65990b245e5a138643cd4eb9837,0.0,0.25,,False,3
245,67,9b98b8c7a33c4b65b9aebfe6a799e6d9,21.0,22.25,21.25,False,7
246,68,2298d6c36e964ae4a3e7e9706d1fb8c2,0.0,1.25,2.25,True,7
247,68,5a8bc65990b245e5a138643cd4eb9837,21.0,21.5,,False,3
248,68,f19421c1d4aa40978ebb69ca19b0e20d,17.0,17.0,17.75,True,5
249,68,fafdcd668e3743c1bb461111dcafc2a4,14.0,14.0,15.0,True,10
250,69,0b1e1539f2cc45b7b9fa7c272da2e1d7,7.0,,,False,10
251,69,4d5c57ea9a6940dd891ad53e9dbe8da0,21.0,21.75,,False,5
252,69,5a8bc65990b245e5a138643cd4eb9837,14.0,15.75,,False,3
253,69,f19421c1d4aa40978ebb69ca19b0e20d,24.0,26.5,,False,5
254,70,2906b810c7d4411798c6938adc9daaa5,14.0,15.25,18.75,True,7
255,70,5a8bc65990b245e5a138643cd4eb9837,21.0,22.25,,False,3
256,70,ae264e3637204a6fb9bb56bc8210ddfd,0.0,,,False,7
257,71,0b1e1539f2cc45b7b9fa7c272da2e1d7,14.0,,20.5,False,10
258,71,9b98b8c7a33c4b65b9aebfe6a799e6d9,21.0,,,False,7
259,71,ae264e3637204a6fb9bb56bc8210ddfd,17.0,,20.5,False,7
260,72,2298d6c36e964ae4a3e7e9706d1fb8c2,0.0,0.0,1.5,True,7
261,72,2906b810c7d4411798c6938adc9daaa5,14.0,,17.5,False,7
262,72,4d5c57ea9a6940dd891ad53e9dbe8da0,24.0,24.75,24.75,True,5
263,72,5a8bc65990b245e5a138643cd4eb9837,17.0,18.25,,False,3
264,72,ae264e3637204a6fb9bb56bc8210ddfd,7.0,9.0,10.25,True,7
265,73,4d5c57ea9a6940dd891ad53e9dbe8da0,0.0,4.25,4.5,True,5
266,73,9b98b8c7a33c4b65b9aebfe6a799e6d9,7.0,11.5,12.75,True,7
267,73,ae264e3637204a6fb9bb56bc8210ddfd,14.0,14.5,14.5,True,7
268,73,fafdcd668e3743c1bb461111dcafc2a4,21.0,,21.25,False,10
269,74,0b1e1539f2cc45b7b9fa7c272da2e1d7,17.0,,,False,10
270,74,2906b810c7d4411798c6938adc9daaa5,14.0,,,False,7
271,74,f19421c1d4aa40978ebb69ca19b0e20d,0.0,0.25,,False,5
272,74,fafdcd668e3743c1bb461111dcafc2a4,24.0,24.25,28.0,True,10
273,75,2298d6c36e964ae4a3e7e9706d1fb8c2,17.0,17.5,22.5,True,7
274,75,2906b810c7d4411798c6938adc9daaa5,0.0,5.0,,False,7
275,75,3f207df678b143eea3cee63160fa8bed,21.0,24.25,,False,4
276,75,fafdcd668e3743c1bb461111dcafc2a4,7.0,9.5,22.5,False,10
277,76,2906b810c7d4411798c6938adc9daaa5,21.0,21.5,21.5,True,7
278,76,5a8bc65990b245e5a138643cd4eb9837,14.0,14.75,,False,3
279,76,f19421c1d4aa40978ebb69ca19b0e20d,7.0,7.5,,False,5
280,77,0b1e1539f2cc45b7b9fa7c272da2e1d7,14.0,15.5,17.0,True,10
281,77,f19421c1d4aa40978ebb69ca19b0e20d,0.0,0.5,0.75,True,5
282,77,fafdcd668e3743c1bb461111dcafc2a4,7.0,7.75,8.25,True,10
283,78,2298d6c36e964ae4a3e7e9706d1fb8c2,0.0,0.0,,False,7
284,78,3f207df678b143eea3cee63160fa8bed,17.0,,,False,4
285,78,fafdcd668e3743c1bb461111dcafc2a4,14.0,14.0,,False,10
286,79,5a8bc65990b245e5a138643cd4eb9837,14.0,16.5,,False,3
287,79,ae264e3637204a6fb9bb56bc8210ddfd,17.0,18.0,,False,7
288,80,0b1e1539f2cc45b7b9fa7c272da2e1d7,14.0,,14.25,False,10
289,80,2298d6c36e964ae4a3e7e9706d1fb8c2,7.0,7.0,,False,7
290,80,3f207df678b143eea3cee63160fa8bed,24.0,29.0,,False,4
291,80,ae264e3637204a6fb9bb56bc8210ddfd,0.0,2.0,2.0,True,7
292,81,2298d6c36e964ae4a3e7e9706d1fb8c2,24.0,26.5,,False,7
293,81,2906b810c7d4411798c6938adc9daaa5,17.0,,,False,7
294,81,3f207df678b143eea3cee63160fa8bed,14.0,,,False,4
295,81,5a8bc65990b245e5a138643cd4eb9837,7.0,8.25,,False,3
296,81,fafdcd668e3743c1bb461111dcafc2a4,21.0,22.5,,False,10
297,82,0b1e1539f2cc45b7b9fa7c272da2e1d7,7.0,24.75,,False,10
298,82,ae264e3637204a6fb9bb56bc8210ddfd,21.0,,,False,7
299,82,f19421c1d4aa40978ebb69ca19b0e20d,14.0,14.0,15.0,True,5
300,82,fafdcd668e3743c1bb461111dcafc2a4,0.0,1.5,4.0,True,10
301,83,0b1e1539f2cc45b7b9fa7c272da2e1d7,21.0,,,False,10
302,83,5a8bc65990b245e5a138643cd4eb9837,0.0,1.0,,False,3
303,83,f19421c1d4aa40978ebb69ca19b0e20d,24.0,24.25,,False,5
304,83,fafdcd668e3743c1bb461111dcafc2a4,17.0,19.75,22.5,True,10
305,84,3f207df678b143eea3cee63160fa8bed,24.0,,,False,4
306,84,5a8bc65990b245e5a138643cd4eb9837,21.0,21.0,,False,3
307,84,f19421c1d4aa40978ebb69ca19b0e20d,0.0,0.0,,False,5
308,85,0b1e1539f2cc45b7b9fa7c272da2e1d7,24.0,24.25,,False,10
309,85,2298d6c36e964ae4a3e7e9706d1fb8c2,21.0,22.0,26.25,True,7
310,85,f19421c1d4aa40978ebb69ca19b0e20d,7.0,7.0,,False,5
311,85,fafdcd668e3743c1bb461111dcafc2a4,14.0,14.0,21.25,True,10
312,86,2298d6c36e964ae4a3e7e9706d1fb8c2,7.0,7.25,9.75,True,7
313,86,2906b810c7d4411798c6938adc9daaa5,24.0,24.5,,False,7
314,86,5a8bc65990b245e5a138643cd4eb9837,0.0,4.0,,False,3
315,86,ae264e3637204a6fb9bb56bc8210ddfd,17.0,18.5,17.5,False,7
316,86,f19421c1d4aa40978ebb69ca19b0e20d,14.0,16.0,14.0,False,5
317,87,2298d6c36e964ae4a3e7e9706d1fb8c2,24.0,25.25,25.5,True,7
318,87,3f207df678b143eea3cee63160fa8bed,0.0,,,False,4
319,87,fafdcd668e3743c1bb461111dcafc2a4,14.0,14.75,15.25,True,10
320,88,0b1e1539f2cc45b7b9fa7c272da2e1d7,14.0,,16.5,False,10
321,88,2298d6c36e964ae4a3e7e9706d1fb8c2,17.0,18.0,19.5,True,7
322,88,3f207df678b143eea3cee63160fa8bed,21.0,23.75,,False,4
323,89,3f207df678b143eea3cee63160fa8bed,14.0,14.25,,False,4
324,89,4d5c57ea9a6940dd891ad53e9dbe8da0,0.0,0.25,3.75,True,5
325,89,5a8bc65990b245e5a138643cd4eb9837,7.0,7.0,,False,3
326,90,4d5c57ea9a6940dd891ad53e9dbe8da0,14.0,,,False,5
327,90,ae264e3637204a6fb9bb56bc8210ddfd,7.0,7.75,,False,7
328,90,fafdcd668e3743c1bb461111dcafc2a4,0.0,0.75,3.5,True,10
329,91,2298d6c36e964ae4a3e7e9706d1fb8c2,21.0,24.5,,False,7
330,91,f19421c1d4aa40978ebb69ca19b0e20d,0.0,0.75,,False,5
331,92,2298d6c36e964ae4a3e7e9706d1fb8c2,0.0,0.75,4.5,True,7
332,92,5a8bc65990b245e5a138643cd4eb9837,17.0,18.75,,False,3
