,person,offer_id,day_received,day_viewed,transactions,duration ,valid
19,39,5a8bc65990b245e5a138643cd4eb9837,14.0,14.5,"[ 2.25  3.    4.25  4.75  5.75  7.   13.   15.5  16.25 18.75 19.75 20.
 20.25 20.75 21.25 21.75 22.5  22.75 23.   23.5  23.75]",3,True
20,40,5a8bc65990b245e5a138643cd4eb9837,7.0,8.25,[13.25 14.25 17.75 23.  ],3,False
21,43,3f207df678b143eea3cee63160fa8bed,21.0,21.75,[ 2.75 13.   15.5  19.75 20.75 21.75 23.75 26.75],4,True
22,48,5a8bc65990b245e5a138643cd4eb9837,7.0,12.0,[10.5  14.25 16.75 19.5  21.75 23.   24.25 26.75 29.5 ],3,False
23,49,5a8bc65990b245e5a138643cd4eb9837,0.0,0.0,"[ 0.25  1.    1.25  2.5   7.5   9.    9.25  9.5  11.75 16.25 16.5  17.5
 19.25 23.25]",3,True
24,52,5a8bc65990b245e5a138643cd4eb9837,14.0,14.0,[ 8.75 16.5  17.75 24.75 29.25],3,True
25,54,5a8bc65990b245e5a138643cd4eb9837,14.0,14.0,"[ 7.5  10.   11.   11.25 17.   18.   19.25 20.25 20.75 22.25 23.5  27.5
 29.5 ]",3,True
26,57,3f207df678b143eea3cee63160fa8bed,7.0,7.25,[ 5.75 10.25 15.   19.   23.   26.  ],4,True
27,58,5a8bc65990b245e5a138643cd4eb9837,21.0,23.5,[ 3.    3.5   9.   12.   14.5  20.   21.25 22.5 ],3,False
28,61,5a8bc65990b245e5a138643cd4eb9837,14.0,14.25,[ 0.75  5.    6.75  7.75 14.   14.25 14.75 17.75 18.5  19.25 20.75 29.75],3,True
29,64,5a8bc65990b245e5a138643cd4eb9837,17.0,19.5,[ 0.    3.25 13.75 16.25 17.75 22.25 28.5 ],3,False
30,67,5a8bc65990b245e5a138643cd4eb9837,0.0,0.25,[ 1.    6.5  16.5  17.5  18.   18.5  20.   21.25 22.   22.75 24.75],3,True
31,68,5a8bc65990b245e5a138643cd4eb9837,21.0,21.5,[ 2.25  4.25  7.    7.75 13.   15.   16.   17.75 19.   22.5  22.75 28.75],3,True
32,69,5a8bc65990b245e5a138643cd4eb9837,14.0,15.75,[ 2.25 13.75 15.25 15.5  16.25 19.5  21.75 22.75 23.5  24.25 28.5 ],3,True
33,70,5a8bc65990b245e5a138643cd4eb9837,21.0,22.25,[ 3.75  9.   11.   18.75 19.   25.25 26.   27.75],3,False
34,72,5a8bc65990b245e5a138643cd4eb9837,17.0,18.25,[ 1.5  10.25 10.5  11.25 17.5  19.25 24.75 25.   27.5 ],3,True
35,75,3f207df678b143eea3cee63160fa8bed,21.0,24.25,[22.5  28.75],4,False
36,76,5a8bc65990b245e5a138643cd4eb9837,14.0,14.75,[ 2.75  4.75  6.75 14.75 21.5  22.25 25.25 26.  ],3,True
37,79,5a8bc65990b245e5a138643cd4eb9837,14.0,16.5,[ 9.5  19.25 26.5  29.25],3,False
38,80,3f207df678b143eea3cee63160fa8bed,24.0,29.0,[ 2.   14.25],4,False
39,81,5a8bc65990b245e5a138643cd4eb9837,7.0,8.25,[ 5.75  6.   12.   18.5  19.   23.5  29.   29.5  29.75],3,False
40,83,5a8bc65990b245e5a138643cd4eb9837,0.0,1.0,[ 1.    1.25  7.25 15.   15.25 20.25 22.5  25.   26.5  27.75 28.   29.  ],3,True
41,84,5a8bc65990b245e5a138643cd4eb9837,21.0,21.0,[ 6.5   7.5  16.75 18.5  24.25],3,False
42,86,5a8bc65990b245e5a138643cd4eb9837,0.0,4.0,[ 9.75 14.   17.5  22.75],3,False
43,88,3f207df678b143eea3cee63160fa8bed,21.0,23.75,[ 5.75 11.75 16.5  19.5  20.25 24.75 28.  ],4,True
44,89,5a8bc65990b245e5a138643cd4eb9837,7.0,7.0,[ 3.75  6.   14.5  15.25 15.5  17.5  18.25 22.75 24.5  27.75],3,False
45,92,5a8bc65990b245e5a138643cd4eb9837,17.0,18.75,[ 4.5   6.    7.    7.75 11.75 13.   16.25 18.5  22.25 24.5 ],3,False
46,96,5a8bc65990b245e5a138643cd4eb9837,21.0,21.0,[ 2.25  4.5   6.    9.5  19.5  20.   20.75 27.   29.5 ],3,False
47,97,5a8bc65990b245e5a138643cd4eb9837,14.0,14.25,[ 3.5   4.    9.   14.25 19.5  22.25 26.75],3,True
48,98,5a8bc65990b245e5a138643cd4eb9837,24.0,26.0,[ 1.25  2.25  2.5   3.    7.5   8.5  11.75 14.25 14.75 15.   21.25 22.  ],3,False
49,103,3f207df678b143eea3cee63160fa8bed,14.0,15.0,"[ 2.5   3.25  5.75  6.25 10.5  16.25 17.5  19.75 22.   22.5  22.75 23.25
 23.75 24.5  25.   25.5  26.   26.5 ]",4,True
50,104,3f207df678b143eea3cee63160fa8bed,7.0,13.25,[ 1.25  7.   10.5  12.   13.25 13.75 15.25 23.25 23.5  28.75],4,False
51,105,5a8bc65990b245e5a138643cd4eb9837,24.0,24.0,[ 2.5 20.5],3,False
52,107,3f207df678b143eea3cee63160fa8bed,14.0,14.5,[ 1.    1.25  2.    2.75  4.75  7.    8.   16.5  21.25 24.5 ],4,True
53,109,3f207df678b143eea3cee63160fa8bed,0.0,8.25,"[10.5  12.25 14.25 15.   16.75 17.   17.5  17.75 18.   19.25 20.   20.25
 23.  ]",4,False
54,110,3f207df678b143eea3cee63160fa8bed,7.0,7.0,"[ 1.    1.5   3.    7.    7.75 15.   17.   19.25 20.25 21.5  24.   24.75
 28.75]",4,True
55,113,5a8bc65990b245e5a138643cd4eb9837,14.0,14.0,[ 1.    4.25  9.    9.75 14.   14.25 16.   16.25 22.   24.   26.25 27.  ],3,True
56,120,3f207df678b143eea3cee63160fa8bed,0.0,6.0,[ 4.5   8.75 13.   17.5  22.5  26.25 26.5  26.75 27.25 28.5 ],4,False
57,121,5a8bc65990b245e5a138643cd4eb9837,0.0,0.0,[ 7.5  17.   17.75 19.5  20.25 22.25 28.75],3,False
58,122,5a8bc65990b245e5a138643cd4eb9837,17.0,18.25,[ 4.25 10.   12.   12.75 21.5  21.75 23.75 24.75 25.   28.  ],3,False
59,123,5a8bc65990b245e5a138643cd4eb9837,14.0,14.5,[ 3.75  5.5   6.5   6.75  9.25 15.5  17.25 20.25 24.   26.75 28.5 ],3,True
60,125,3f207df678b143eea3cee63160fa8bed,0.0,0.5,[ 0.25  0.5   1.25  1.75 10.25 12.5  13.5  16.   20.25 21.5  27.25 27.75],4,True
61,126,5a8bc65990b245e5a138643cd4eb9837,7.0,7.5,[ 8.25 15.   19.75 20.  ],3,True
62,127,5a8bc65990b245e5a138643cd4eb9837,0.0,1.0,[ 0.5   1.25  5.25  6.75 17.25],3,True
63,128,5a8bc65990b245e5a138643cd4eb9837,24.0,24.5,[10.   14.25 27.25 27.75],3,False
64,129,5a8bc65990b245e5a138643cd4eb9837,14.0,15.0,"[ 1.25  1.5   4.    7.25  8.   10.75 14.25 14.75 19.5  23.5  23.75 25.25
 27.   29.25]",3,False
65,130,5a8bc65990b245e5a138643cd4eb9837,24.0,27.5,[ 4.5   5.25  9.25 15.5  16.   17.75 20.   20.25 25.   25.25 25.5  29.25],3,False
66,132,5a8bc65990b245e5a138643cd4eb9837,21.0,22.0,[ 7.5  11.75 14.25 16.5  19.5  22.75 27.5 ],3,True
67,133,3f207df678b143eea3cee63160fa8bed,21.0,22.0,[ 3. 26.],4,False
68,135,5a8bc65990b245e5a138643cd4eb9837,0.0,2.75,[ 0.    1.75  4.25  6.5   9.25 16.   19.5  23.75],3,False
69,136,3f207df678b143eea3cee63160fa8bed,0.0,0.25,"[ 0.25  1.    3.75  4.75  8.75 10.25 11.5  12.75 13.   13.75 16.25 18.25
 22.   23.5  24.5  24.75 25.25 26.5  29.5 ]",4,True
70,137,5a8bc65990b245e5a138643cd4eb9837,24.0,25.0,[ 4.5   8.   10.5  18.   19.25],3,False
71,140,5a8bc65990b245e5a138643cd4eb9837,21.0,25.75,[ 5.5  16.75 19.  ],3,False
72,141,5a8bc65990b245e5a138643cd4eb9837,7.0,7.25,[ 6.25  8.75 11.25 19.75 24.   24.75],3,True
73,146,5a8bc65990b245e5a138643cd4eb9837,14.0,14.25,[ 7.75  8.   14.75 17.5  19.5  23.75 26.25],3,True
74,147,3f207df678b143eea3cee63160fa8bed,17.0,19.75,[ 0.75  5.75  6.25 11.5  23.25],4,False
75,149,5a8bc65990b245e5a138643cd4eb9837,17.0,19.25,[12.25 13.75 26.25 26.5 ],3,False
76,152,3f207df678b143eea3cee63160fa8bed,7.0,8.25,[ 0.    1.25  3.5   3.75  8.25 18.25 19.   26.   26.75 28.   29.5 ],4,True
77,154,5a8bc65990b245e5a138643cd4eb9837,0.0,0.0,[ 0.75 20.75],3,True
78,155,3f207df678b143eea3cee63160fa8bed,14.0,15.25,[ 3.25  4.5  20.25],4,False
79,159,3f207df678b143eea3cee63160fa8bed,0.0,1.25,[ 6.25  8.75 17.25],4,False
80,160,5a8bc65990b245e5a138643cd4eb9837,14.0,14.0,[14.   16.5  24.75],3,True
81,164,5a8bc65990b245e5a138643cd4eb9837,14.0,15.0,[ 1.5  16.25],3,True
82,165,5a8bc65990b245e5a138643cd4eb9837,17.0,17.0,[ 2.    3.5   6.75 15.25 21.25 23.25],3,False
83,169,3f207df678b143eea3cee63160fa8bed,0.0,1.5,[ 2.5   5.25  5.5  10.75 23.25 25.75 28.25 28.5 ],4,True
84,170,5a8bc65990b245e5a138643cd4eb9837,24.0,24.5,[ 3.   14.5  19.75 22.25 22.5  23.25 24.75],3,True
85,171,5a8bc65990b245e5a138643cd4eb9837,14.0,14.25,[ 1.    2.25  7.5  14.25 22.5  24.   25.75 28.  ],3,True
86,173,5a8bc65990b245e5a138643cd4eb9837,0.0,0.0,[23.],3,False
87,175,5a8bc65990b245e5a138643cd4eb9837,7.0,8.5,[ 0.   18.   27.75],3,False
88,176,5a8bc65990b245e5a138643cd4eb9837,7.0,7.25,[ 3.25  6.25  7.   14.75 18.5  19.75],3,False
89,177,3f207df678b143eea3cee63160fa8bed,14.0,14.0,[ 0.5  10.5  14.   17.5  20.75 21.   24.5  25.25 25.75 29.  ],4,True
90,179,3f207df678b143eea3cee63160fa8bed,17.0,17.5,[ 8.   12.5  16.   16.25 18.5  19.75 22.  ],4,True
91,180,5a8bc65990b245e5a138643cd4eb9837,7.0,7.75,[ 9.    9.5  22.   22.5  22.75 24.5  26.75 28.5 ],3,True
92,185,5a8bc65990b245e5a138643cd4eb9837,17.0,17.5,[ 3.25  5.    6.    7.    9.5  17.25 19.   22.5  22.75 27.75],3,True
93,186,3f207df678b143eea3cee63160fa8bed,0.0,0.75,[ 8.5  10.5  12.25 14.   16.5  25.25],4,False
94,187,3f207df678b143eea3cee63160fa8bed,7.0,7.0,[ 5.75  7.5   9.   11.75 12.25 19.75 21.5  23.  ],4,True
95,188,3f207df678b143eea3cee63160fa8bed,0.0,1.25,[ 1.    1.5  12.5  24.25],4,True
96,189,5a8bc65990b245e5a138643cd4eb9837,17.0,18.5,[ 4.25 12.   18.25 23.5 ],3,False
97,190,3f207df678b143eea3cee63160fa8bed,24.0,27.0,[19.75 29.5 ],4,False
98,192,5a8bc65990b245e5a138643cd4eb9837,14.0,14.5,[ 1.75  8.   13.   16.   18.25 18.75 19.5  26.   28.5 ],3,True
99,197,5a8bc65990b245e5a138643cd4eb9837,17.0,17.5,[ 0.75  7.   15.5  17.   26.25 27.5  29.  ],3,False
100,199,3f207df678b143eea3cee63160fa8bed,17.0,18.25,[ 4.    7.5   8.25 13.5  22.5  24.75],4,False
101,202,3f207df678b143eea3cee63160fa8bed,24.0,24.0,[ 1.    3.    3.5   4.75 14.75 20.5  21.25 23.5  26.  ],4,True
102,204,5a8bc65990b245e5a138643cd4eb9837,14.0,17.25,[ 1.75  2.75 10.75 11.25 17.75 22.75 24.   25.   25.25 26.   28.75],3,False
103,208,3f207df678b143eea3cee63160fa8bed,7.0,8.5,[ 1.    3.    5.25  8.5  10.   18.25 20.   20.5  22.25 25.5 ],4,True
104,209,5a8bc65990b245e5a138643cd4eb9837,17.0,19.5,[ 1.5   2.25 11.   15.75 17.5  18.25 18.75],3,False
105,212,3f207df678b143eea3cee63160fa8bed,0.0,20.0,[ 1.75  8.   12.75 19.   26.  ],4,False
106,213,3f207df678b143eea3cee63160fa8bed,7.0,18.5,[ 1.    4.25  5.25  7.25 15.75 24.5  24.75],4,False
107,214,3f207df678b143eea3cee63160fa8bed,7.0,12.0,[ 3.5  16.   23.75],4,False
108,216,3f207df678b143eea3cee63160fa8bed,14.0,15.0,[ 1.5  14.5  15.25 18.   21.   27.75],4,True
109,218,5a8bc65990b245e5a138643cd4eb9837,7.0,8.25,[12.25 13.   15.   16.   21.   24.25 24.75],3,False
110,219,3f207df678b143eea3cee63160fa8bed,17.0,17.0,[ 7.75  8.75 12.75 17.   18.   24.75],4,True
111,222,5a8bc65990b245e5a138643cd4eb9837,24.0,29.5,[23.25 28.25],3,False
112,223,5a8bc65990b245e5a138643cd4eb9837,0.0,0.0,"[ 0.25  0.75  3.    7.5   7.75  9.    9.5  17.   17.5  17.75 19.25 20.
 22.75 26.75]",3,True
113,224,5a8bc65990b245e5a138643cd4eb9837,21.0,23.75,[ 3.5  11.   17.25 19.25 20.   23.   28.5 ],3,False
114,225,5a8bc65990b245e5a138643cd4eb9837,21.0,21.0,"[ 0.25  0.5   0.75  1.25  5.    7.25  7.75  9.75 13.75 14.25 19.   21.25
 26.5 ]",3,True
115,227,3f207df678b143eea3cee63160fa8bed,0.0,4.75,[ 4.25  7.5   7.75 17.   26.75],4,False
116,230,5a8bc65990b245e5a138643cd4eb9837,24.0,24.5,[ 1.25  4.75 13.25 17.25 24.25],3,False
117,231,5a8bc65990b245e5a138643cd4eb9837,24.0,24.0,[ 6.25 11.   12.5  13.5  24.5  25.75 26.5 ],3,True
118,232,5a8bc65990b245e5a138643cd4eb9837,0.0,0.25,[ 1.5   2.   15.25 21.   22.25],3,True
119,234,5a8bc65990b245e5a138643cd4eb9837,17.0,17.25,[ 8.25 14.75 18.75 25.   26.5  28.  ],3,True
120,242,5a8bc65990b245e5a138643cd4eb9837,14.0,14.25,[ 4.25 12.5  14.25 14.5  15.5  28.75],3,True
121,243,3f207df678b143eea3cee63160fa8bed,7.0,7.0,[ 2.5   6.75  8.75  9.25 14.25 14.75 16.5  19.75 23.   27.5 ],4,True
122,245,3f207df678b143eea3cee63160fa8bed,17.0,17.25,"[ 5.75  8.    8.5   8.75  9.    9.75 11.5  12.75 18.   20.25 22.25 23.75
 25.   26.25 26.5  29.75]",4,True
123,247,5a8bc65990b245e5a138643cd4eb9837,24.0,27.0,"[ 0.25  2.5   3.25  4.75  5.25  7.5  11.   12.   12.75 14.75 16.   16.5
 18.25 21.   21.5  22.25 23.75 24.5  25.25 26.  ]",3,False
124,248,5a8bc65990b245e5a138643cd4eb9837,24.0,24.0,"[ 8.25  9.75 10.25 10.5  10.75 11.   14.75 18.25 20.25 21.   21.75 23.
 23.25 23.75 24.   25.   25.5  27.   29.25]",3,True
125,249,5a8bc65990b245e5a138643cd4eb9837,14.0,15.5,[23.25 27.  ],3,False
126,250,5a8bc65990b245e5a138643cd4eb9837,21.0,21.0,[ 3.5   5.25  6.    8.75 12.   12.25 13.   28.5 ],3,False
127,251,5a8bc65990b245e5a138643cd4eb9837,0.0,0.75,"[ 1.    1.25  7.25  8.   11.25 11.75 16.   17.   17.75 18.   18.25 19.25
 19.5  21.75 22.75 24.75 25.25 27.25]",3,True
128,252,5a8bc65990b245e5a138643cd4eb9837,0.0,0.75,[ 2.    7.25  8.25  9.   11.25 13.5  23.   26.  ],3,True
129,253,3f207df678b143eea3cee63160fa8bed,14.0,14.0,[ 2.    7.5  10.   10.5  12.5  14.   15.   21.5  24.75 26.75 27.75],4,True
130,255,5a8bc65990b245e5a138643cd4eb9837,7.0,7.0,[ 1.5   2.75  3.5   5.    8.25 13.   13.5  16.75 21.5  23.25 24.5  28.25],3,True
131,257,5a8bc65990b245e5a138643cd4eb9837,21.0,21.0,"[ 5.25  8.    9.75 10.   17.75 21.75 22.25 22.5  23.25 24.   24.5  26.
 26.75 27.75 29.5 ]",3,True
132,258,5a8bc65990b245e5a138643cd4eb9837,0.0,6.25,[ 0.    5.   10.25 19.25 19.5  23.25 24.5  25.25],3,False
133,260,5a8bc65990b245e5a138643cd4eb9837,7.0,8.5,[ 9.5  19.25 21.5  24.75],3,True
134,262,3f207df678b143eea3cee63160fa8bed,17.0,17.0,"[ 1.75  2.    4.    4.75  6.25  6.75  7.75 10.5  12.   18.   18.25 18.75
 19.25 21.5  22.   22.25 24.   25.75 26.25 27.75 28.   29.  ]",4,True
135,263,5a8bc65990b245e5a138643cd4eb9837,0.0,1.75,[ 1.    2.    2.75  5.5  10.5  17.75 19.75 22.75 26.   29.  ],3,True
136,266,5a8bc65990b245e5a138643cd4eb9837,14.0,14.0,[ 3.75  6.   12.   14.25 15.75 19.75 21.75 26.25 27.25 28.25],3,True
137,271,3f207df678b143eea3cee63160fa8bed,7.0,8.25,[ 5.75  6.25  9.   13.   16.25 18.25 21.25 23.5  28.25],4,True
138,272,5a8bc65990b245e5a138643cd4eb9837,7.0,8.5,[ 0.25  3.25  7.    7.75 13.   14.5  18.5  20.25 25.5  26.   28.75],3,False
139,273,5a8bc65990b245e5a138643cd4eb9837,14.0,14.25,[16. 17.],3,True
140,275,5a8bc65990b245e5a138643cd4eb9837,17.0,17.25,[ 8.75 12.25 15.5  16.   16.75 17.25 18.75 22.75 26.  ],3,True
141,277,5a8bc65990b245e5a138643cd4eb9837,21.0,21.0,"[ 2.5   4.    5.25  6.    6.75 12.   18.   18.5  18.75 19.   19.5  19.75
 20.25 20.5  21.5  23.75 25.5 ]",3,True
142,282,3f207df678b143eea3cee63160fa8bed,0.0,1.0,[ 3.25  5.   14.   17.75 21.25 26.75 27.25 29.75],4,True
143,283,5a8bc65990b245e5a138643cd4eb9837,0.0,9.75,[ 3.25  7.5  16.5  22.25 27.25],3,False
144,284,5a8bc65990b245e5a138643cd4eb9837,14.0,14.5,"[ 1.75  5.    5.5   6.    8.75 17.5  21.   21.5  21.75 22.   24.5  29.
 29.5  29.75]",3,False
145,287,3f207df678b143eea3cee63160fa8bed,7.0,7.75,[11.25 12.   24.  ],4,False
146,289,3f207df678b143eea3cee63160fa8bed,21.0,22.75,[ 5.    6.5   9.25 16.75],4,False
147,291,3f207df678b143eea3cee63160fa8bed,0.0,3.25,"[ 3.75  8.5   9.25 10.75 11.25 11.5  12.   13.   13.5  14.25 15.25 16.
 18.25 19.25 19.5  20.   23.   25.25 26.75 27.   27.5  28.5 ]",4,True
148,292,3f207df678b143eea3cee63160fa8bed,7.0,7.75,[ 7.75  8.   12.5  14.25 21.   23.5  24.25 26.25 28.5 ],4,True
149,294,5a8bc65990b245e5a138643cd4eb9837,7.0,10.0,[ 2.    3.    7.75  8.5   8.75  9.75 14.5  15.25 19.75 21.75 25.75 28.75],3,False
150,296,5a8bc65990b245e5a138643cd4eb9837,21.0,23.25,[ 3.75  6.    6.25  8.25 19.5  21.5  22.25 23.   24.5  26.5  28.25],3,False
151,298,5a8bc65990b245e5a138643cd4eb9837,0.0,1.75,"[ 0.75  2.5   4.    9.75 13.   13.5  18.25 19.   19.5  19.75 22.   25.5
 25.75 29.5 ]",3,True
152,302,5a8bc65990b245e5a138643cd4eb9837,17.0,17.0,[ 1.25 10.5  15.75 16.   16.25 18.5  25.5 ],3,True
153,304,5a8bc65990b245e5a138643cd4eb9837,0.0,1.5,[ 1.75  2.25  5.   17.   19.5  22.75 25.5  29.5 ],3,True
154,306,3f207df678b143eea3cee63160fa8bed,14.0,14.5,[ 1.75  3.25  6.25 14.5  17.75 25.25 26.25 27.75],4,True
155,309,5a8bc65990b245e5a138643cd4eb9837,14.0,14.25,"[ 1.5   3.    5.25  5.5   5.75  6.    8.25  9.25  9.5  14.   15.75 16.75
 20.25 25.25 25.75 26.75]",3,True
156,310,5a8bc65990b245e5a138643cd4eb9837,24.0,26.0,[ 6.5   8.25 10.75 11.25 12.5  15.25 16.75 19.25 22.25 24.25 25.75 29.  ],3,False
157,311,5a8bc65990b245e5a138643cd4eb9837,24.0,24.25,[17.5],3,False
158,312,3f207df678b143eea3cee63160fa8bed,24.0,24.25,[ 7.   16.25 17.   22.   22.5  23.75 26.25 26.5  27.5  28.  ],4,True
159,313,5a8bc65990b245e5a138643cd4eb9837,0.0,1.75,[ 8.75  9.   13.25 16.75 17.25 19.   22.25 22.75 26.5 ],3,False
160,314,3f207df678b143eea3cee63160fa8bed,14.0,14.25,[ 0.75  4.    4.5  11.75 15.25 16.   29.25],4,True
161,317,5a8bc65990b245e5a138643cd4eb9837,17.0,18.25,[ 0.    0.25  2.    5.5   6.5   9.25 18.75 24.75],3,True
162,321,5a8bc65990b245e5a138643cd4eb9837,7.0,7.5,"[ 1.75  5.5   7.5   9.    9.25 14.25 15.25 16.75 17.75 23.5  28.25 28.5
 28.75]",3,True
163,325,5a8bc65990b245e5a138643cd4eb9837,14.0,14.0,[ 3.5   7.75  8.25  8.75  9.   12.75 25.5  26.5 ],3,False
164,328,5a8bc65990b245e5a138643cd4eb9837,21.0,21.5,"[ 3.75  4.    4.25  5.25  9.25 10.75 11.5  17.75 18.5  20.   21.75 22.25
 22.5  23.25 24.5  26.25 27.25 27.5 ]",3,True
165,329,5a8bc65990b245e5a138643cd4eb9837,14.0,14.0,[ 1.5   7.5   9.   14.25 17.   19.   19.75 20.   27.75 28.   28.25 29.  ],3,True
166,333,5a8bc65990b245e5a138643cd4eb9837,17.0,17.75,[ 0.5   3.25  6.25 10.75 17.5  19.75 22.75 23.   24.75 25.5  27.  ],3,True
167,334,5a8bc65990b245e5a138643cd4eb9837,17.0,17.75,[10.75 22.  ],3,False
168,337,3f207df678b143eea3cee63160fa8bed,17.0,17.25,[ 0.5   3.25 17.   21.5  25.5  26.   26.25],4,False
169,340,5a8bc65990b245e5a138643cd4eb9837,0.0,1.0,[ 0.25  4.5  10.75 22.   25.5  29.25],3,False
170,341,5a8bc65990b245e5a138643cd4eb9837,0.0,1.25,[ 3.25  7.75 14.5  20.75 28.75],3,False
171,343,3f207df678b143eea3cee63160fa8bed,17.0,24.75,[10.5  18.   29.75],4,False
172,345,5a8bc65990b245e5a138643cd4eb9837,7.0,7.5,[ 8.75 15.75 17.25 21.   29.5 ],3,True
173,351,5a8bc65990b245e5a138643cd4eb9837,0.0,0.0,[ 2.    8.75 10.   10.75 11.   11.75 18.75 20.75 27.75],3,True
174,354,3f207df678b143eea3cee63160fa8bed,7.0,7.5,[ 4.5   6.25 16.5  19.75 24.5  27.25],4,False
175,355,3f207df678b143eea3cee63160fa8bed,14.0,15.0,"[ 1.75  2.75  3.    3.25  5.25  6.25  7.    7.25  8.   10.75 17.   19.25
 21.   23.5  24.25 24.5  25.   26.5  27.5  28.25 28.75]",4,True
176,357,5a8bc65990b245e5a138643cd4eb9837,7.0,7.5,[ 1.5   2.25  2.75  4.    9.5  15.5  18.25 20.75 22.25 25.5  26.5 ],3,True
177,358,3f207df678b143eea3cee63160fa8bed,21.0,23.75,"[ 0.25  1.75  4.25 10.25 10.75 11.5  14.   17.75 20.   20.5  21.5  22.75
 23.   25.5  26.5  27.25 29.25]",4,False
178,359,3f207df678b143eea3cee63160fa8bed,0.0,3.25,[17.75],4,False
179,361,3f207df678b143eea3cee63160fa8bed,7.0,8.5,[ 1.5   7.25  9.25  9.5  20.75 25.25],4,True
180,364,3f207df678b143eea3cee63160fa8bed,14.0,15.75,[ 7.5   9.75 12.   18.   24.5  29.  ],4,True
181,365,3f207df678b143eea3cee63160fa8bed,14.0,15.0,[ 0.5   7.   28.25],4,False
182,366,3f207df678b143eea3cee63160fa8bed,0.0,27.0,[13.75 16.25 25.75 28.75],4,False
183,367,5a8bc65990b245e5a138643cd4eb9837,14.0,14.0,[ 4.75  6.    6.5   7.5  10.25 14.5  15.75 24.75],3,True
184,368,3f207df678b143eea3cee63160fa8bed,7.0,7.25,[13.75 17.5 ],4,False
185,369,3f207df678b143eea3cee63160fa8bed,14.0,25.0,[ 2.25  3.75  4.75  5.75  8.25  8.75 23.25 25.5 ],4,False
186,373,3f207df678b143eea3cee63160fa8bed,0.0,2.0,[ 8.75 10.75 14.25 18.   21.   24.25 28.25],4,False
187,379,5a8bc65990b245e5a138643cd4eb9837,14.0,14.25,"[ 6.    8.    8.25  8.5  12.   12.5  13.5  13.75 14.25 15.5  16.5  19.5
 20.5  21.25 22.   29.25]",3,True
188,381,5a8bc65990b245e5a138643cd4eb9837,17.0,17.0,[ 0.75  7.   18.   23.25 24.   24.25 26.  ],3,True
189,382,3f207df678b143eea3cee63160fa8bed,24.0,24.0,"[ 0.5   1.    1.25  5.    9.   10.25 14.5  15.   15.25 16.   17.75 21.5
 22.   22.25 22.5  23.5  25.25 27.5  28.   29.  ]",4,True
190,383,5a8bc65990b245e5a138643cd4eb9837,24.0,24.5,"[ 5.5   6.    6.25  9.25 10.   12.75 15.25 15.75 17.75 19.25 22.25 24.75
 25.25 26.  ]",3,True
